

In GA, the initial population is a population of possible solutions that is initialized first. The produced population is refined by running the solutions through the crossover, mutation, and selection operations. After a predetermined number of iterations, the solution with the highest fitness value of a predefined objective function is deemed the optimal solution.
A binary encoding technique is used to represent each solution or chromosome in the population. The number of sensor nodes equals the size of the chromosomes. The sensor node number is determined by the index value of the chromosomal array, and the value of that index indicates whether the node is acting as a cluster head or not. If the value is represented by bit '1,' the associated sensor node is the cluster head for that solution; if the value is '0,' the corresponding sensor node is the member node.
As a result, because each generation is contained inside the iterations, no data set is required. However, we demonstrate how iteration works inside the clustr in this file.




Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH	Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH		Iteration	Fitness	CH
39	802.22	9		39	218.23	37		39	212.46	37		39	230.44	50		39	210.88	70		39	186.72	62	39	212.4647745	37		39	146.3914694	62		39	127.5956143	53		39	157.8942351	26		39	152.94	72		39	160.5948501	94		39	129.7940486	17		39	133.11	48		39	147.2149481	32		39	811.2625697	31
40	802.22	9		40	218.23	36		40	212.46	36		40	230.44	52		40	210.88	68		40	186.72	60	40	212.4647745	36		40	146.3914694	61		40	127.5956143	53		40	157.8942351	26		40	152.94	73		40	160.5948501	94		40	129.7940486	17		40	133.11	48		40	147.2149481	34		40	811.2625697	31
41	802.22	9		41	218.23	37		41	212.46	38		41	230.44	51		41	210.88	69		41	186.72	62	41	212.4647745	38		41	146.3914694	63		41	127.5956143	53		41	157.8942351	26		41	152.94	74		41	160.5948501	94		41	129.7940486	16		41	133.11	49		41	147.2149481	33		41	811.2625697	31
42	802.22	9		42	218.23	38		42	212.46	36		42	230.44	50		42	210.88	69		42	186.72	60	42	212.4647745	36		42	146.3914694	61		42	127.5956143	55		42	157.8942351	26		42	152.94	73		42	160.5948501	93		42	129.7940486	16		42	133.11	48		42	147.2149481	33		42	811.2625697	33
43	802.22	9		43	218.23	37		43	212.46	36		43	230.44	51		43	210.88	69		43	186.72	60	43	212.4647745	36		43	146.3914694	61		43	127.5956143	55		43	157.8942351	27		43	152.94	74		43	160.5948501	95		43	129.7940486	16		43	133.11	48		43	147.2149481	33		43	811.2625697	33
44	802.22	9		44	218.23	37		44	212.46	38		44	230.44	50		44	210.88	68		44	186.72	60	44	212.4647745	38		44	146.3914694	61		44	127.5956143	55		44	157.8942351	26		44	152.94	72		44	160.5948501	95		44	129.7940486	17		44	133.11	50		44	147.2149481	33		44	811.2625697	33
45	802.22	7		45	218.23	36		45	212.46	36		45	230.44	51		45	210.88	70		45	186.72	61	45	212.4647745	36		45	146.3914694	63		45	127.5956143	53		45	157.8942351	27		45	152.94	72		45	160.5948501	95		45	129.7940486	18		45	133.11	48		45	147.2149481	32		45	811.2625697	33
46	802.22	9		46	218.23	37		46	212.46	37		46	230.44	52		46	210.88	70		46	186.72	60	46	212.4647745	37		46	146.3914694	62		46	127.5956143	54		46	157.8942351	25		46	152.94	74		46	160.5948501	93		46	129.7940486	18		46	133.11	48		46	147.2149481	34		46	811.2625697	33
47	802.22	7		47	218.23	38		47	212.46	5		47	230.44	5		47	210.88	5		47	186.72	60	47	212.4647745	5		47	146.3914694	5		47	127.5956143	53		47	157.8942351	25		47	152.94	73		47	160.5948501	5		47	129.7940486	18		47	133.11	5		47	147.2149481	34		47	811.2625697	31
48	802.22	9		48	218.23	37		48	212.46	36		48	230.44	50		48	210.88	68		48	186.72	60	48	212.4647745	36		48	146.3914694	61		48	127.5956143	54		48	157.8942351	27		48	152.94	72		48	160.5948501	93		48	129.7940486	16		48	133.11	48		48	147.2149481	32		48	811.2625697	31
49	802.22	9		49	218.23	36		49	212.46	37		49	230.44	52		49	210.88	68		49	186.72	60	49	212.4647745	37		49	146.3914694	62		49	127.5956143	53		49	157.8942351	27		49	152.94	72		49	160.5948501	93		49	129.7940486	17		49	133.11	50		49	147.2149481	34		49	811.2625697	31
50	802.22	9		50	218.23	36		50	212.46	36		50	230.44	51		50	210.88	68		50	186.72	62	50	212.4647745	36		50	146.3914694	61		50	127.5956143	53		50	157.8942351	26		50	152.94	73		50	160.5948501	95		50	129.7940486	18		50	133.11	50		50	147.2149481	32		50	811.2625697	33
51	802.22	9		51	218.23	38		51	212.46	38		51	230.44	50		51	210.88	69		51	186.72	62	51	212.4647745	38		51	146.3914694	63		51	127.5956143	55		51	157.8942351	25		51	152.94	72		51	160.5948501	93		51	129.7940486	17		51	133.11	48		51	147.2149481	33		51	811.2625697	31
52	802.22	7		52	218.23	38		52	212.46	38		52	230.44	50		52	210.88	69		52	186.72	62	52	212.4647745	38		52	146.3914694	63		52	127.5956143	55		52	157.8942351	25		52	152.94	72		52	160.5948501	93		52	129.7940486	17		52	133.11	48		52	147.2149481	33		52	811.2625697	31
53	802.22	9		53	218.23	38		53	212.46	38		53	230.44	50		53	210.88	69		53	186.72	62	53	212.4647745	38		53	146.3914694	63		53	127.5956143	55		53	157.8942351	25		53	152.94	72		53	160.5948501	93		53	129.7940486	17		53	133.11	48		53	147.2149481	33		53	811.2625697	31
54	802.22	9		54	218.23	38		54	212.46	40		54	230.44	50		54	210.88	69		54	186.72	62	54	212.4647745	40		54	146.3914694	63		54	127.5956143	55		54	157.8942351	25		54	152.94	72		54	160.5948501	93		54	129.7940486	17		54	133.11	48		54	147.2149481	33		54	811.2625697	31
55	802.22	7		55	218.23	38		55	212.46	38		55	230.44	50		55	210.88	69		55	186.72	62	55	212.4647745	38		55	146.3914694	63		55	127.5956143	55		55	157.8942351	25		55	152.94	72		55	160.5948501	93		55	129.7940486	17		55	133.11	48		55	147.2149481	33		55	811.2625697	31
56	802.22	9		56	218.23	38		56	212.46	38		56	230.44	50		56	210.88	69		56	186.72	62	56	212.4647745	38		56	146.3914694	63		56	127.5956143	55		56	157.8942351	25		56	152.94	72		56	160.5948501	93		56	129.7940486	17		56	133.11	48		56	147.2149481	33		56	811.2625697	31
57	802.22	9		57	218.23	38		57	212.46	38		57	230.44	50		57	210.88	69		57	186.72	62	57	212.4647745	38		57	146.3914694	63		57	127.5956143	55		57	157.8942351	25		57	152.94	72		57	160.5948501	93		57	129.7940486	17		57	133.11	48		57	147.2149481	33		57	811.2625697	31
58	802.22	9		58	218.23	38		58	212.46	38		58	230.44	50		58	210.88	69		58	186.72	62	58	212.4647745	38		58	146.3914694	63		58	127.5956143	55		58	157.8942351	25		58	152.94	72		58	160.5948501	93		58	129.7940486	17		58	133.11	48		58	147.2149481	33		58	811.2625697	31
59	802.22	9		59	218.23	38		59	212.46	38		59	230.44	50		59	210.88	69		59	186.72	62	59	212.4647745	38		59	146.3914694	63		59	127.5956143	55		59	157.8942351	25		59	152.94	72		59	160.5948501	93		59	129.7940486	17		59	133.11	48		59	147.2149481	33		59	811.2625697	31
60	802.22	9		60	218.23	38		60	212.46	38		60	230.44	50		60	210.88	69		60	186.72	62	60	212.4647745	38		60	146.3914694	63		60	127.5956143	55		60	157.8942351	25		60	152.94	72		60	160.5948501	93		60	129.7940486	17		60	133.11	48		60	147.2149481	33		60	811.2625697	31
61	802.22	9		61	218.23	38		61	212.46	38		61	230.44	50		61	210.88	69		61	186.72	62	61	212.4647745	38		61	146.3914694	63		61	127.5956143	55		61	157.8942351	25		61	152.94	72		61	160.5948501	93		61	129.7940486	17		61	133.11	48		61	147.2149481	33		61	811.2625697	31
62	802.22	9		62	218.23	38		62	212.46	38		62	230.44	50		62	210.88	69		62	186.72	62	62	212.4647745	38		62	146.3914694	63		62	127.5956143	55		62	157.8942351	25		62	152.94	72		62	160.5948501	93		62	129.7940486	17		62	133.11	48		62	147.2149481	33		62	811.2625697	31
63	802.22	9		63	218.23	38		63	212.46	38		63	230.44	50		63	210.88	69		63	186.72	62	63	212.4647745	38		63	146.3914694	63		63	127.5956143	55		63	157.8942351	25		63	152.94	72		63	160.5948501	93		63	129.7940486	17		63	133.11	48		63	147.2149481	33		63	811.2625697	31
64	802.22	9		64	218.23	38		64	212.46	44		64	230.44	44		64	210.88	70		64	186.72	62	64	212.4647745	44		64	146.3914694	44		64	127.5956143	55		64	157.8942351	25		64	152.94	72		64	160.5948501	44		64	129.7940486	17		64	133.11	44		64	147.2149481	33		64	811.2625697	31
65	802.22	9		65	218.23	38		65	212.46	44		65	230.44	44		65	210.88	70		65	186.72	62	65	212.4647745	44		65	146.3914694	44		65	127.5956143	55		65	157.8942351	25		65	152.94	72		65	160.5948501	44		65	129.7940486	17		65	133.11	44		65	147.2149481	33		65	811.2625697	31
66	802.22	9		66	218.23	38		66	212.46	40		66	230.44	44		66	210.88	70		66	186.72	62	66	212.4647745	40		66	146.3914694	44		66	127.5956143	55		66	157.8942351	25		66	152.94	72		66	160.5948501	44		66	129.7940486	17		66	133.11	44		66	147.2149481	33		66	811.2625697	31
67	802.22	9		67	218.23	38		67	212.46	44		67	230.44	44		67	210.88	70		67	186.72	62	67	212.4647745	44		67	146.3914694	44		67	127.5956143	55		67	157.8942351	25		67	152.94	72		67	160.5948501	44		67	129.7940486	17		67	133.11	44		67	147.2149481	33		67	811.2625697	31
68	802.22	7		68	218.23	38		68	212.46	44		68	230.44	44		68	210.88	70		68	186.72	62	68	212.4647745	44		68	146.3914694	44		68	127.5956143	55		68	157.8942351	25		68	152.94	72		68	160.5948501	44		68	129.7940486	17		68	133.11	44		68	147.2149481	33		68	811.2625697	31
69	802.22	9		69	218.23	38		69	212.46	44		69	230.44	44		69	210.88	70		69	186.72	62	69	212.4647745	44		69	146.3914694	44		69	127.5956143	55		69	157.8942351	25		69	152.94	72		69	160.5948501	44		69	129.7940486	17		69	133.11	44		69	147.2149481	33		69	811.2625697	31
70	802.22	7		70	218.23	38		70	212.46	44		70	230.44	44		70	210.88	70		70	186.72	62	70	212.4647745	44		70	146.3914694	44		70	127.5956143	55		70	157.8942351	25		70	152.94	72		70	160.5948501	44		70	129.7940486	17		70	133.11	44		70	147.2149481	33		70	811.2625697	31
71	802.22	9		71	218.23	38		71	212.46	44		71	230.44	44		71	210.88	70		71	186.72	62	71	212.4647745	44		71	146.3914694	44		71	127.5956143	55		71	157.8942351	25		71	152.94	72		71	160.5948501	44		71	129.7940486	17		71	133.11	44		71	147.2149481	33		71	811.2625697	31
72	802.22	9		72	218.23	38		72	212.46	44		72	230.44	44		72	210.88	70		72	186.72	62	72	212.4647745	44		72	146.3914694	44		72	127.5956143	55		72	157.8942351	25		72	152.94	72		72	160.5948501	44		72	129.7940486	17		72	133.11	44		72	147.2149481	33		72	811.2625697	31
73	802.22	9		73	218.23	38		73	212.46	44		73	230.44	44		73	210.88	70		73	186.72	62	73	212.4647745	44		73	146.3914694	44		73	127.5956143	55		73	157.8942351	25		73	152.94	72		73	160.5948501	44		73	129.7940486	17		73	133.11	44		73	147.2149481	33		73	811.2625697	31
74	802.22	9		74	218.23	38		74	212.46	44		74	230.44	44		74	210.88	70		74	186.72	62	74	212.4647745	44		74	146.3914694	44		74	127.5956143	55		74	157.8942351	25		74	152.94	72		74	160.5948501	44		74	129.7940486	17		74	133.11	44		74	147.2149481	33		74	811.2625697	31
75	802.22	7		75	218.23	38		75	212.46	40		75	230.44	44		75	210.88	70		75	186.72	62	75	212.4647745	40		75	146.3914694	44		75	127.5956143	55		75	157.8942351	25		75	152.94	72		75	160.5948501	44		75	129.7940486	17		75	133.11	44		75	147.2149481	33		75	811.2625697	31
76	802.22	9		76	218.23	38		76	212.46	44		76	230.44	44		76	210.88	70		76	186.72	62	76	212.4647745	44		76	146.3914694	44		76	127.5956143	55		76	157.8942351	25		76	152.94	72		76	160.5948501	44		76	129.7940486	17		76	133.11	44		76	147.2149481	33		76	811.2625697	31
77	802.22	9		77	218.23	38		77	212.46	44		77	230.44	44		77	210.88	70		77	186.72	62	77	212.4647745	44		77	146.3914694	44		77	127.5956143	55		77	157.8942351	25		77	152.94	72		77	160.5948501	44		77	129.7940486	17		77	133.11	44		77	147.2149481	33		77	811.2625697	31
78	802.22	9		78	218.23	38		78	212.46	44		78	230.44	44		78	210.88	70		78	186.72	62	78	212.4647745	44		78	146.3914694	44		78	127.5956143	55		78	157.8942351	25		78	152.94	72		78	160.5948501	44		78	129.7940486	17		78	133.11	44		78	147.2149481	33		78	811.2625697	31
79	802.22	7		79	218.23	38		79	212.46	44		79	230.44	44		79	210.88	70		79	186.72	62	79	212.4647745	44		79	146.3914694	44		79	127.5956143	55		79	157.8942351	25		79	152.94	72		79	160.5948501	44		79	129.7940486	17		79	133.11	44		79	147.2149481	33		79	811.2625697	31
80	802.22	9		80	218.23	38		80	212.46	44		80	230.44	44		80	210.88	70		80	186.72	62	80	212.4647745	44		80	146.3914694	44		80	127.5956143	55		80	157.8942351	25		80	152.94	72		80	160.5948501	44		80	129.7940486	17		80	133.11	44		80	147.2149481	33		80	811.2625697	31
81	802.22	9		81	218.23	38		81	212.46	44		81	230.44	44		81	210.88	70		81	186.72	62	81	212.4647745	44		81	146.3914694	44		81	127.5956143	55		81	157.8942351	25		81	152.94	72		81	160.5948501	44		81	129.7940486	17		81	133.11	44		81	147.2149481	33		81	811.2625697	31
82	802.22	9		82	218.23	38		82	212.46	44		82	230.44	44		82	210.88	70		82	186.72	62	82	212.4647745	44		82	146.3914694	44		82	127.5956143	55		82	157.8942351	25		82	152.94	72		82	160.5948501	44		82	129.7940486	17		82	133.11	44		82	147.2149481	33		82	811.2625697	31
83	802.22	9		83	218.23	38		83	212.46	40		83	230.44	44		83	210.88	70		83	186.72	62	83	212.4647745	40		83	146.3914694	44		83	127.5956143	55		83	157.8942351	25		83	152.94	72		83	160.5948501	44		83	129.7940486	17		83	133.11	44		83	147.2149481	33		83	811.2625697	31
84	802.22	9		84	218.23	38		84	212.46	44		84	230.44	44		84	210.88	70		84	186.72	62	84	212.4647745	44		84	146.3914694	44		84	127.5956143	55		84	157.8942351	25		84	152.94	72		84	160.5948501	44		84	129.7940486	17		84	133.11	44		84	147.2149481	33		84	811.2625697	31
85	802.22	9		85	218.23	38		85	212.46	40		85	230.44	44		85	210.88	70		85	186.72	62	85	212.4647745	40		85	146.3914694	44		85	127.5956143	55		85	157.8942351	25		85	152.94	72		85	160.5948501	44		85	129.7940486	17		85	133.11	44		85	147.2149481	33		85	811.2625697	31
86	702.22	9		86	218.23	38		86	212.46	44		86	230.44	44		86	210.88	70		86	186.72	62	86	212.4647745	44		86	146.3914694	44		86	127.5956143	55		86	157.8942351	25		86	152.94	72		86	160.5948501	44		86	129.7940486	17		86	133.11	44		86	147.2149481	33		86	811.2625697	31
87	802.22	9		87	218.23	38		87	212.46	44		87	230.44	44		87	210.88	70		87	186.72	62	87	212.4647745	44		87	146.3914694	44		87	127.5956143	55		87	157.8942351	25		87	152.94	72		87	160.5948501	44		87	129.7940486	17		87	133.11	44		87	147.2149481	33		87	811.2625697	31
88	802.22	9		88	218.23	38		88	212.46	40		88	230.44	44		88	210.88	70		88	186.72	62	88	212.4647745	40		88	146.3914694	44		88	127.5956143	55		88	157.8942351	25		88	152.94	72		88	160.5948501	44		88	129.7940486	17		88	133.11	44		88	147.2149481	33		88	811.2625697	31
89	802.22	9		89	218.23	38		89	212.46	44		89	230.44	44		89	210.88	70		89	186.72	62	89	212.4647745	44		89	146.3914694	44		89	127.5956143	55		89	157.8942351	25		89	152.94	72		89	160.5948501	44		89	129.7940486	17		89	133.11	44		89	147.2149481	33		89	811.2625697	31
90	802.22	7		90	218.23	38		90	212.46	44		90	230.44	44		90	210.88	70		90	186.72	62	90	212.4647745	44		90	146.3914694	44		90	127.5956143	55		90	157.8942351	25		90	152.94	72		90	160.5948501	44		90	129.7940486	17		90	133.11	44		90	147.2149481	33		90	811.2625697	31
